symbol,n_hours,mean_signed_spread,mean_abs_spread,pct_hours_gt_1bp,mean_sign_run_h
1000PEPE,126,-0.0001818299,0.0001818299,52.38,5.8
ENA,126,-0.0001431705,0.0001504359,40.48,3.08
SUI,126,-7.91082e-05,8.50635e-05,33.33,3.67
DOGE,126,-5.96069e-05,6.23987e-05,26.98,5.38
XRP,126,-5.78877e-05,6.07435e-05,28.57,6.69
ADA,126,4.95261e-05,9.37445e-05,35.71,2.02
SOL,126,-4.54918e-05,5.55847e-05,23.02,5.44
ETH,126,-4.36891e-05,5.29e-05,21.43,4.0
LINK,126,-3.75351e-05,4.91646e-05,18.25,3.39
ZEC,126,-3.5165e-05,7.02607e-05,23.81,2.34
BTC,126,-2.75771e-05,3.68131e-05,7.94,4.0
HYPE,126,-9.5325e-06,5.17769e-05,19.05,2.43
TRUMP,126,4.4364e-06,0.000166154,43.65,2.28
